Category: All categories

Month,csv to json: (United States),parse json: (United States),json python: (United States)
2009-05,1,4,4
2009-06,1,6,7
2009-07,1,5,6
2009-08,1,6,5
2009-09,1,4,5
2009-10,1,5,6
2009-11,1,5,3
2009-12,0,7,5
2010-01,1,3,5
2010-02,1,6,7
2010-03,<1,6,7
2010-04,1,6,9
2010-05,1,10,7
2010-06,1,9,9
2010-07,0,9,7
2010-08,1,8,8
2010-09,0,8,8
2010-10,2,9,9
2010-11,1,6,8
2010-12,1,9,7
2011-01,1,9,8
2011-02,1,12,9
2011-03,1,11,10
2011-04,1,11,9
2011-05,1,11,9
2011-06,1,12,10
2011-07,1,11,10
2011-08,1,14,11
2011-09,1,13,13
2011-10,1,13,13
2011-11,2,13,10
2011-12,1,11,10
2012-01,1,13,12
2012-02,1,18,13
2012-03,2,15,15
2012-04,1,17,14
2012-05,2,15,15
2012-06,1,14,15
2012-07,1,17,16
2012-08,2,18,17
2012-09,2,17,16
2012-10,2,16,17
2012-11,2,16,16
2012-12,2,15,13
2013-01,2,15,16
2013-02,3,19,19
2013-03,3,19,21
2013-04,3,23,21
2013-05,3,20,26
2013-06,4,24,24
2013-07,4,23,23
2013-08,4,21,23
2013-09,3,22,23
2013-10,4,24,27
2013-11,5,23,24
2013-12,4,19,24
2014-01,5,22,24
2014-02,6,28,32
2014-03,6,24,29
2014-04,6,26,31
2014-05,7,25,29
2014-06,7,30,32
2014-07,7,32,38
2014-08,7,27,34
2014-09,6,28,31
2014-10,8,31,30
2014-11,8,27,32
2014-12,8,24,29
2015-01,8,26,29
2015-02,9,29,36
2015-03,9,32,38
2015-04,9,30,40
2015-05,9,30,41
2015-06,11,35,43
2015-07,12,38,44
2015-08,9,34,45
2015-09,11,30,46
2015-10,12,32,43
2015-11,11,30,48
2015-12,10,28,44
2016-01,9,29,40
2016-02,10,31,53
2016-03,11,35,54
2016-04,11,33,53
2016-05,9,29,55
2016-06,12,34,59
2016-07,10,30,55
2016-08,13,31,56
2016-09,10,32,53
2016-10,13,31,57
2016-11,12,31,61
2016-12,12,30,55
2017-01,14,34,61
2017-02,13,36,75
2017-03,17,43,76
2017-04,16,38,77
2017-05,16,35,78
2017-06,15,39,83
2017-07,15,36,74
2017-08,16,39,77
2017-09,13,33,73
2017-10,15,34,78
2017-11,15,33,77
2017-12,10,29,62
2018-01,14,34,71
2018-02,15,35,80
2018-03,17,35,86
2018-04,18,36,85
2018-05,18,36,84
2018-06,18,39,90
2018-07,16,36,84
2018-08,18,39,97
2018-09,16,31,81
2018-10,17,35,94
2018-11,18,38,95
2018-12,14,31,76
2019-01,16,33,82
2019-02,19,37,90
2019-03,17,40,94
2019-04,20,40,100
2019-05,20,35,89
